id {uuid},name  {properties.title},type {properties.type},diocese {properties.diocese},url {links[0].identifier},{links[0].type},{properties.when},founded by {properties.founder},{latitude},{longitude},"{types=[{""identifier"":""http://vocab.getty.edu/aat/300443474"",""label"":""monasteries (institutions)"",""sourceLabels"":[""Monastery""]}]}","{$.@id=""https://w3id.org/locolligo/early-monasteries""}","{$.indexing=""indexing_early-monasteries.json""}"
1,Campodunum,1,,https://en.wikipedia.org/wiki/History_of_Leeds,seeAlso,>=730,Thrythwulf (abbot),53.654,-1.872,,,
2,Beverley,1,York,https://en.wikipedia.org/wiki/Beverley_Minster,seeAlso,>=700,John (Bishop of York),53.839167,-0.424722,,,
3,Tadcaster,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_North_Yorkshire,seeAlso,>=649,Hieu,53.911044,-1.262419,,,
4,Watton,1,,"https://en.wikipedia.org/wiki/Watton,_East_Riding_of_Yorkshire",seeAlso,,,53.937501,-0.453516,,,
5,Addingham,1,,https://en.wikipedia.org/wiki/Addingham,seeAlso,>=678,Ecgfrith/Wilfrid,53.9433,-1.8717,,,
6,Ripon,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_North_Yorkshire,seeAlso,>=660,Alchfrid,54.134992,-1.520257,,,
7,Stonegrave,1,,https://en.wikipedia.org/wiki/Stonegrave_Minster,seeAlso,>=757,Eadberht,54.19252,-0.99663,,,
8,Heversham,1,,"https://en.wikipedia.org/wiki/St_Peter%27s_Church,_Heversham",seeAlso,>=800,,54.24373,-2.77484,,,
9,Hackness,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_North_Yorkshire,seeAlso,>=680,Hilda,54.296589,-0.526367,,,
10,Lastingham,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_North_Yorkshire,seeAlso,>=654,Cedd,54.304478,-0.882586,,,
11,Gilling,1,,https://en.wikipedia.org/wiki/Gilling_Abbey,seeAlso,>=653,Eanflaed,54.4408,-1.71913,,,
12,Whitby,1,,https://en.wikipedia.org/wiki/Whitby_Abbey,seeAlso,>=657,Oswiu,54.489,-0.608,,,
13,Dacre,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Cumbria,seeAlso,>=731,,54.632256,-2.83808,,,
14,Carlisle,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Cumbria,seeAlso,>=686,Ecgfrith,54.894713,-2.938607,,,
15,Coldingham,1,,https://en.wikipedia.org/wiki/Coldingham_Priory,seeAlso,>=640,Aebbe,55.8865,-2.155222,,,
16,Tyningham,1,,https://en.wikipedia.org/wiki/Tyninghame,seeAlso,>=756,Baldred,56.0028,-2.6264,,,
17,Melrose,1,,https://canmore.org.uk/site/55631/old-melrose-st-cuthberts-chapel,seeAlso,>=650,Aidan,55.6,-2.6553703,,,
18,Donamuthe/Adlingsfleet?,,,,,,,#VALUE!,#VALUE!,,,
19,Catterick,1,,,,,,#VALUE!,#VALUE!,,,
20,Coxwold,1,,,,,,#VALUE!,#VALUE!,,,
21,Crayke,1,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_North_Yorkshire,seeAlso,>=685,Ecgfrith/Cuthbert,#VALUE!,#VALUE!,,,
22,Stamford,1,,,,,,#VALUE!,#VALUE!,,,
23,Kilnsea,1,,,,,,,,,,
24,Tynemouth,1,Hexham?,https://en.wikipedia.org/wiki/Tynemouth_Castle_and_Priory,seeAlso,>=633,Edwin of Northumbria?,55.0175,-1.4189,,,
25,Jarrow,1,Hexham?,https://en.wikipedia.org/wiki/Monkwearmouth%E2%80%93Jarrow_Abbey,seeAlso,>=684,Ecgfrith/Benedict Biscop,54.9804,-1.4722,,,
26,South Shields,1,Hexham?,"https://en.wikipedia.org/wiki/St_Hilda%27s_Church,_South_Shields",seeAlso,>=647,Oswin/Aidan/Hilda,54.996458,-1.437725,,,
27,Monkwearmouth,1,Hexham?,https://en.wikipedia.org/wiki/Monkwearmouth%E2%80%93Jarrow_Abbey,seeAlso,>=674,Ecgfrith/Benedict Biscop,54.91303,-1.375245,,,
28,Gateshead,1,Hexham?,https://en.wikipedia.org/wiki/Gateshead,seeAlso,>=623,Utta (Abbot),54.95,-1.6,,,
29,Corbridge,1,Hexham?,https://en.wikipedia.org/wiki/Corbridge,seeAlso,>=676,Wilfrid,54.97505027,-2.0198155,,,
30,Ebchester,1,Hexham?,https://en.wikipedia.org/wiki/Ebchester,seeAlso,>=683,Aebbe,54.89421993,-1.8400571,,,
31,Hartlepool,1,Hexham?,https://en.wikipedia.org/wiki/Hartlepool_Abbey,seeAlso,>=640,Hieu/Aidan,54.695119,-1.181553,,,
32,Whalley,1,Lichfield?,https://sites.google.com/site/whalleyparishchurch/Home/history-of-st-mary-and-all-saints-church-whalley,seeAlso,>=628,,53.82160903,-2.4075163,,,
33,Derby,1,Lichfield?,,,,,#VALUE!,#VALUE!,,,
34,Repton,1,Lichfield?,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Derbyshire,seeAlso,>=660,David,52.8413,-1.5504,,,
35,Wenlock,1,Lichfield?,https://en.wikipedia.org/wiki/Wenlock_Priory,seeAlso,>=680,Merewalh,52.59739,-2.55506,,,
36,Acton Beauchamp,1,Hereford?,,,,,53.07422958,-2.5510136,,,
37,Ismere (Kidderminster),1,Worcester?,https://en.wikipedia.org/wiki/Ismere_Diploma,seeAlso,>=736,Aethelbald of Mercia,52.3885,-2.249,,,
38,Wooton,1,Worcester?,https://en.wikipedia.org/wiki/Wootton_Wawen,seeAlso,>=737,Aethelbald of Mercia,51.70968696,-1.311988,,,
39,Stratford,1,Worcester?,,,,,#VALUE!,#VALUE!,,,
40,Hanbury,1,Worcester?,"https://en.wikipedia.org/wiki/Hanbury,_Worcestershire",seeAlso,>=660,,52.27830634,-2.0682456,,,
41,Blockley,1,Worcester?,https://en.wikipedia.org/wiki/Blockley,seeAlso,>=855,Burgred of Mercia,52.016,-1.76,,,
42,Daylesford,1,Worcester?,https://en.wikipedia.org/wiki/Daylesford_Monastery,seeAlso,>=718,Aethelbald of Mercia/Begia,51.929924,-1.648722,,,
43,"Gloucester, Cathedral",1,Worcester?,https://en.wikipedia.org/wiki/Gloucester_Cathedral,seeAlso,>=679,,51.8675,-2.246667,,,
